Row_ID,Paper_ID,Authors,Year,Title,ID_FullText,Case countries,Continent,Latitude,Longitude,Food system classification ,"Non-legume main Farm/forest products for 
 which the production is being intensified (NOT all products produced)",Legume,Legume_all,Ecological outcome,Social outcome,Combined ecological-social outcome,Description combined ecological-social outcome,Description combined ecological-social outcome
124,295,"Khokhar A., Yousuf A., Singh M., Sharma V., Sandhu P.S., Chary G.R.",2021,"Impact of land configuration and strip-intercropping on runoff, soil loss and crop yields under rainfed conditions in the shivalik foothills of north-west, india",109,India,Asia,31.101389,76.390556,Grain / Cowpea,Maize,Cowpea,Cowpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
150,388,"Mishra M.M., Mohanty M., Gulati J.M.L., Nanda S.S.",2013,"Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India",143,India,Asia,21.374772,83.893241,Grain + Non-Grain / Cowpea,Rice-groundnut,Cowpea,Cowpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
379,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec). ",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India",364,India,Asia,20.466667,84.233333,Grain / Cowpea,Rice,Cowpea,Cowpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
92,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia",94,Indonesia,Asia,-8.083333,112.033333,Grain / Cowpea,Cassava,Cowpea,Cowpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
182,432,"Nwofia G.E., Jiwuba F., Okpara D.A., Mbah E.U.",2017,Yield and Productivity of Eggplant Genotypes Intercropped with Vegetable Cowpea in the Humid Tropics,168,Nigeria,Africa,5.533333,7.383333,Non-Grain / Cowpea,Eggplant,Cowpea,Cowpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
366,768,"Falconnier, G. N., Descheemaeker, K., Van Mourik, T. A., Adam, M., Sogoba, B., & Giller, K. E. (2017, Sep). ",2017,Co-learning cycles to support the design of innovative farm systems in southern Mali,353,Mali,Africa,12.2845189,-5.342026519,Grain / Cowpea,Maize,Cowpea,Cowpea,Lose,Mix,Lose-Mix,Negative Ecological Outcome,Negative Ecological Outcome
268,564,"Singh B.B., Ajeigbe H.",2007,Improved cowpea-cereals-based cropping systems for household food security and poverty reduction in West Africa,231,Nigeria,Africa,11.980343,8.558196,Grain / Cowpea,Millet,Cowpea,Cowpea,Lose,Mix,Lose-Mix,Negative Ecological Outcome,Negative Ecological Outcome
269,564,"Singh B.B., Ajeigbe H.",2007,Improved cowpea-cereals-based cropping systems for household food security and poverty reduction in West Africa,231,Nigeria,Africa,11.980343,8.558196,Grain / Cowpea,Sorghum,Cowpea,Cowpea,Lose,Mix,Lose-Mix,Negative Ecological Outcome,Negative Ecological Outcome
204,444,"Palaniappan S.P., Balasubramanian R., Ramesh T., Chandrasekaran A., Mani K.G., Velayutham M., Lal R.",2009,Sustainable management of dryland alfisols (Red Soils) in South India,178,India,Asia,9.5833335,79.0333335,Non-Grain / Cowpea,Pigeon Pea,Cowpea,Cowpea,Mix,Lose,Mix-Lose,Negative Social Outcomes,Negative Social Outcomes
234,506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands,203,Madagascar,Africa,-19.55525,46.414953,Grain / Cowpea,Rice +Sorghum,Cowpea,Cowpea,Mix,Lose,Mix-Lose,Negative Social Outcomes,Negative Social Outcomes
176,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality",163,Malawi,Africa,-12.84342021,34.18786266,Grain / Cowpea,Maize,Cowpea,Cowpea,Mix,Lose,Mix-Lose,Negative Social Outcomes,Negative Social Outcomes
307,622,"Tonitto C., Ricker-Gilbert J.E.",2016,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,255,Burkina Faso,Africa,12.36313764,-1.523138373,Grain / Cowpea,Sorghum,Cowpea,Cowpea,Lose,Lose,Lose-Lose,Negative Socio-ecological Outcomes,Negative Socio-ecological Outcomes
308,622,"Tonitto C., Ricker-Gilbert J.E.",2016,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,255,Ethiopia,Africa,9.019071903,38.75423335,Grain / Cowpea,Sorghum,Cowpea,Cowpea,Lose,Lose,Lose-Lose,Negative Socio-ecological Outcomes,Negative Socio-ecological Outcomes
340,727,"Suhi AA, Mia S, Khanam S, et al",2022,How Does Maize-Cowpea Intercropping Maximize Land Use and Economic Return? A Field Trial in Bangladesh,312,Bangladesh,Asia,22.464425,90.387247,Grain / Cowpea,Maize,Cowpea,Cowpea,Lose,Win,Lose-Win,Opposing Socio-ecological Outcome,Opposing Socio-ecological Outcome
